"Company Name","52 Week High (₹)","High Date","52 Week Low (₹)","Low Date"
"BSE","648.00","07/05/2019","446.20","16/08/2019"
"BSEL Infra. Realty","2.45","26/02/2019","0.90","06/08/2019"
"BSL Ltd","49.50","31/01/2019","20.85","26/08/2019"
"Burnpur Cement Ltd.","3.95","13/03/2019","0.95","02/08/2019"
"Butterfly Gandhima","284.90","23/01/2020","139.00","03/09/2019"
"C & C Constructions","25.55","31/01/2019","2.00","24/01/2020"
"C Mahendra Exports","5.50","22/06/2015","1.20","04/01/2016"
"Cadila Healthcar","352.60","01/04/2019","206.50","22/08/2019"
"Cadsys (India) Ltd.","63.45","06/06/2019","31.50","28/01/2020"
"Cairn India Ltd.","313.05","12/04/2017","129.85","24/06/2016"
"California Softw","25.90","05/04/2019","9.20","09/10/2019"
"Cambridge Technology","56.15","27/05/2019","20.35","31/12/2019"
"Camlin Fine Sciences","89.90","02/01/2020","38.70","16/05/2019"
"Can Fin Homes","505.00","22/01/2020","235.55","11/02/2019"
"Canara Bank","302.10","01/04/2019","170.60","01/10/2019"
"Cantabil Retail Indi","351.85","19/03/2019","136.40","31/01/2019"
"Capacite Infraproje","284.40","05/07/2019","155.65","21/08/2019"
"Capital First","901.85","15/01/2018","437.25","09/10/2018"
"Capital Trust Lt","236.50","02/05/2019","45.65","06/08/2019"
"Caplin Point Lab","466.90","06/06/2019","280.10","12/12/2019"
"Capri Global Capital","228.95","05/11/2019","123.35","26/02/2019"
"Carborundum Uni.","418.85","29/03/2019","265.00","23/08/2019"
"CARE Ratings","1,018.00","12/03/2019","443.70","26/11/2019"
"Career Point","136.75","13/11/2019","48.30","31/07/2019"
"Castex Technologies","1.20","01/03/2019","0.30","11/10/2019"
"Castrol India","172.90","03/04/2019","112.75","22/08/2019"
"CCL Products India","306.90","13/03/2019","180.00","13/12/2019"
"Ceat Ltd.","1,179.00","15/03/2019","776.20","05/08/2019"
"Celebrity Fashions L","9.95","07/03/2019","4.20","25/10/2019"
"Celestial Biolabs Lt","6.90","31/01/2019","2.55","01/01/2020"
"Central Bank","36.90","01/04/2019","15.70","14/08/2019"
"Central Depository","285.50","22/01/2020","180.80","05/08/2019"
"Centrum Capital","37.00","11/03/2019","17.75","13/11/2019"
"Centum Electronics L","576.25","30/05/2019","338.60","20/12/2019"
"Century Enka","268.90","12/03/2019","154.00","08/01/2020"
"Century Extru.","7.20","08/02/2019","2.00","10/01/2020"
"Century Plyboards","222.40","08/04/2019","112.00","06/08/2019"
"Century Textiles","1,063.00","04/06/2019","352.10","15/10/2019"
"Cera Sanitaryware L","3,195.00","29/03/2019","2,144.05","19/02/2019"
"Cerebra Integrat","34.80","18/04/2019","18.10","14/11/2019"
"CESC Ltd.","851.70","23/09/2019","642.60","14/05/2019"
"CESC Ventures","659.00","01/04/2019","273.10","12/12/2019"
"CG Power and Indust","47.35","20/03/2019","7.65","22/01/2020"
"Chalet Hotels L","402.00","31/12/2019","250.00","07/02/2019"
"Chambal Fertilis","195.00","10/06/2019","133.80","22/08/2019"
"Chembond Chemica","249.90","08/01/2020","196.00","17/12/2019"
"Chemfab Alkalis","221.75","20/01/2020","129.00","15/02/2019"
"Chennai Petro.","278.30","01/04/2019","107.60","11/12/2019"
"Cheslind Textile","12.90","07/05/2015","6.55","20/05/2014"
"Cholamandalam Financ","569.85","16/01/2020","415.15","14/02/2019"
"Cholamandalam Invest","336.80","27/01/2020","225.99","31/01/2019"
"Chromatic India","1.15","09/04/2019","0.35","17/10/2019"
"Cigniti Technologies","399.85","15/04/2019","240.00","26/08/2019"
"CIL Nova Petrochemic","22.60","03/05/2019","7.10","03/12/2019"
"Cimmco","40.65","31/05/2019","15.10","01/08/2019"
"Cineline India","51.50","14/03/2019","25.30","05/08/2019"
"Cinevista L","16.95","11/10/2019","4.60","20/02/2019"
"Cipla","586.00","27/05/2019","389.55","11/10/2019"
"City Union Bank","249.35","16/01/2020","175.50","25/02/2019"
"CKP Leisure","7.55","19/12/2019","4.70","07/10/2019"
"CKP Products","35.50","18/10/2019","23.45","09/10/2019"
"CL Educate","135.00","12/03/2019","67.50","12/12/2019"
"Clariant Chemicals (","423.50","10/01/2020","264.00","08/08/2019"
"Classic Diamonds","2.15","27/01/2015","1.00","23/07/2015"
"CLC Industries","2.00","15/04/2019","0.15","29/08/2019"
"Clutch Auto","22.40","05/02/2015","7.60","24/06/2015"
"CMC Ltd.","2,320.00","09/10/2014","1,805.10","20/10/2014"
"CMI L","162.00","15/03/2019","43.00","13/12/2019"
"CMM Infraprojects","10.50","19/03/2019","2.45","16/12/2019"
"Coal India","271.45","06/06/2019","177.70","22/08/2019"
"Cochin Shipyard","491.70","20/01/2020","326.90","18/10/2019"
"Coffee Day Enterpris","318.00","18/03/2019","26.40","30/10/2019"
"Colgate Palm.","1,642.60","08/11/2019","1,103.05","14/05/2019"
"Commercial Engineers","24.55","12/03/2019","12.00","23/08/2019"
"Compuage Infocom Ltd","22.35","08/02/2019","8.00","15/11/2019"
"Compucom Softwr","10.60","12/03/2019","6.95","31/01/2020"
"Confidence Petroleum","41.40","13/06/2019","19.30","23/08/2019"
"Consolidated Constru","3.75","19/11/2018","0.45","29/10/2019"
"Consolidated Finvest","50.75","04/02/2019","27.80","29/08/2019"
"Container Corpor","666.00","01/10/2019","460.00","19/08/2019"
"Continental Seeds","82.00","31/01/2020","11.85","07/11/2019"
"Control Print Ltd.","318.05","31/10/2019","190.00","22/07/2019"
"Coral India Finance","22.65","07/03/2019","9.00","29/08/2019"
"Cords Cable Industri","70.00","16/04/2019","35.10","23/08/2019"
"CORE Education & Tec","7.90","16/07/2015","1.65","16/05/2016"
"Coromandel Engg.","69.00","07/07/2014","26.90","28/02/2014"
"Coromandel Internati","641.45","31/01/2020","336.60","16/08/2019"
"Corporation Bank","32.40","27/02/2019","13.60","17/10/2019"
"Cosmo Films","316.80","16/01/2020","161.95","18/02/2019"
"Country Club Hospita","7.90","30/05/2019","2.95","20/12/2019"
"Country Condos","5.15","31/05/2019","1.35","05/09/2019"
"Cox & Kings Fin","70.00","11/04/2019","0.35","06/11/2019"
"Cox & Kings L","169.70","07/03/2019","0.95","31/01/2020"
"Creative Eye","2.85","27/02/2019","1.20","22/10/2019"
"Creative Peripherals","113.90","17/01/2020","54.00","22/02/2019"
"CreditAccess Grameen","882.40","29/01/2020","329.90","04/02/2019"
"Crest Animation Stud","5.15","12/06/2014","1.90","02/03/2015"
"Crest Ventures","153.00","23/04/2019","68.00","05/08/2019"
"Crisil","2,068.00","23/12/2019","1,135.55","09/08/2019"
"Crompton Greaves Con","293.80","31/01/2020","192.00","18/02/2019"
"Crown Lifters","43.50","26/12/2019","29.90","06/08/2019"
"CSB Bank","313.50","05/12/2019","181.00","31/01/2020"
"Cubex Tubings Lt","17.65","07/03/2019","8.20","11/09/2019"
"Cummins India Lt","811.95","05/02/2019","504.00","11/12/2019"
"Cupid Ltd.","261.80","20/01/2020","104.00","16/07/2019"
"Cura Technologies","1.85","04/12/2019","0.90","06/02/2019"
"Cyber Media (India)","6.40","30/01/2019","2.00","28/01/2020"
"Cybertech System","64.30","17/09/2019","33.05","15/02/2019"
"Cyient Ltd.","693.80","13/03/2019","380.00","06/11/2019"
"D B Realty Ltd.","26.80","04/02/2019","5.75","03/09/2019"
"D P Abhushan","61.00","31/01/2020","37.50","06/12/2019"
"D P Wires","98.00","20/01/2020","58.00","03/09/2019"
"Dabur India","505.85","27/01/2020","357.55","16/05/2019"
"Dalmia Bharat","3,350.00","28/11/2017","1,930.00","23/10/2018"
"Dalmia Bharat L","1,219.90","28/05/2019","750.10","19/09/2019"
"Dalmia Bharat Sugar","135.50","07/03/2019","69.25","23/08/2019"
"Dalmia Refractories","170.00","18/11/2014","49.80","21/05/2014"
"Damodar Industries","51.00","04/02/2019","23.50","11/12/2019"
"Dangee Dums","219.35","11/03/2019","124.00","11/07/2019"
"Datamatics Global Se","116.20","27/05/2019","63.00","23/08/2019"
"DB (International)","12.60","13/06/2019","7.20","12/04/2019"
"DB Corp","205.15","15/03/2019","130.00","24/12/2019"
"DC Infotech and Comm","45.50","27/12/2019","45.00","27/12/2019"
"DCB Bank","244.65","25/06/2019","164.80","20/12/2019"
"DCM Financial","1.25","04/02/2019","0.70","09/01/2020"
"DCM Ltd.","88.55","24/05/2019","17.00","23/08/2019"
"DCM Nouvelle","54.90","16/07/2019","22.60","22/08/2019"
"DCM Shriram","638.50","23/05/2019","310.65","21/11/2019"
"DCW Ltd.","23.10","01/04/2019","12.10","11/12/2019"
"De Nora India Ltd.","329.50","07/05/2019","190.05","11/12/2019"
"Debock Sales & Mktg","12.05","08/02/2019","3.55","01/11/2019"
"Deccan Cements","489.50","28/05/2019","261.00","27/12/2019"
"Decolight Ceramics L","4.20","26/05/2014","1.25","27/03/2015"
"Deep Industries","176.15","03/06/2019","92.20","23/08/2019"
"Deepak Fertilisers","169.00","18/04/2019","76.20","23/08/2019"
"Deepak Nitrite","409.60","28/01/2020","208.25","31/01/2019"
"Delta Corp Ltd.","277.65","03/04/2019","139.10","05/08/2019"
"Delta Magnets Ltd.","86.80","01/03/2019","30.00","31/10/2019"
"Den Networks Ltd.","97.70","23/08/2019","36.10","20/11/2019"
"Dena Bank","21.60","16/03/2018","10.45","18/02/2019"
"Dev Information Tech","101.00","20/08/2019","65.00","22/11/2019"
"Dewan Housing","176.45","16/04/2019","12.95","31/01/2020"
"DFM Foods Limi","333.85","30/01/2020","178.85","21/02/2019"
"Dhampur Sugar","252.75","06/03/2019","134.20","13/08/2019"
"Dhanlaxmi Bank","21.20","26/04/2019","12.50","06/08/2019"
"Dhanuka Agritech Ltd","558.00","29/01/2020","287.10","22/10/2019"
"Dhanuka Realty","9.70","15/11/2018","7.25","04/09/2019"
"Dharani Sugars","14.05","06/03/2019","5.20","26/08/2019"
"Dhunseri Investments","367.00","25/04/2019","181.70","16/10/2019"
"Dhunseri Tea & Indus","310.05","25/04/2019","146.40","23/08/2019"
"Dhunseri Ventures","117.80","25/04/2019","64.35","26/08/2019"
"Diamond Power Infras","1.80","27/03/2019","0.40","18/10/2019"
"DIC India","421.35","30/04/2019","288.15","06/08/2019"
"Digicontent","16.00","18/06/2019","3.05","22/11/2019"
"DiGiSPICE Technologi","11.25","01/02/2019","4.15","26/12/2019"
"Digjam L","4.90","22/03/2019","0.80","31/10/2019"
"Digjam Ltd.[Old]","19.00","12/01/2016","6.10","08/06/2015"
"Diligent Media Corp","5.20","31/01/2019","0.30","10/10/2019"
"Dilip Buildcon Ltd.","734.80","19/03/2019","312.25","06/02/2019"
"Dish TV India Ltd.","42.25","05/03/2019","10.40","25/10/2019"
"Dishman Carbogen Amc","257.35","11/06/2019","63.90","03/01/2020"
"Dishman Pharmaceutic","347.00","17/04/2017","127.95","24/06/2016"
"Divis Lab","1,994.40","29/01/2020","1,466.00","14/08/2019"
"Dixon Technologies","4,719.95","31/01/2020","1,560.00","13/08/2019"
"DLF Ltd.","265.90","24/01/2020","132.55","01/10/2019"
"D-Link (India)","125.00","24/01/2020","68.85","19/02/2019"
"Dolat Investment","83.80","30/10/2019","33.50","23/08/2019"
"Dollar Industries","304.00","07/03/2019","121.95","09/12/2019"
"Dolphin Offshore Ent","56.80","09/04/2019","5.20","27/01/2020"
"Donear Industrie","48.65","12/03/2019","21.60","31/07/2019"
"DQ Entertainment (In","10.20","10/04/2019","1.05","31/01/2020"
"Dr. Datsons Labs","21.50","26/05/2014","5.50","27/03/2015"
"Dr. Lal Pathlabs Ltd","1,794.60","28/01/2020","955.00","14/05/2019"
"Dr. Reddys Labs","3,249.95","28/01/2020","1,872.95","15/02/2019"
"Dredging Corpora","457.55","06/03/2019","293.00","23/08/2019"
"DRS Dilip Roadlines","78.00","12/03/2019","61.00","06/03/2019"
"DS Kulkarni Develope","69.80","17/04/2017","13.55","20/03/2018"
"Ducon Infratech","19.90","31/05/2019","4.30","17/10/2019"
"Duncans Industri","16.95","02/09/2015","10.70","08/03/2016"
"Dwarikesh Sugar","42.00","07/01/2020","19.25","13/08/2019"
"Dynacons Systems","38.40","29/05/2019","20.60","14/11/2019"
"Dynamatic Techno","1,658.00","11/03/2019","940.00","29/11/2019"
"Dynemic Products","166.80","13/01/2020","96.10","14/02/2019"
"E2E Networks","57.00","20/03/2019","18.70","31/12/2019"
"Eastern Silk Indust.","2.35","25/03/2019","0.45","17/10/2019"
"Easun Reyrolle L","9.35","09/04/2019","2.50","17/01/2020"
"Ebixcash World Money","546.60","12/03/2019","240.00","27/12/2019"
"ECE Industries","445.00","09/05/2018","178.15","18/02/2019"
"eClerx Services","1,174.95","22/03/2019","387.50","17/10/2019"
"Ed & Tech Internatio","0.65","05/04/2017","0.05","23/06/2017"
"Edelweiss Fin. Ser","210.50","04/06/2019","67.00","11/10/2019"
"Educomp Solutions","2.90","13/03/2019","0.90","28/11/2019"
"Eicher Motors","23,450.00","26/11/2019","15,200.00","26/08/2019"
"EID Parry","243.45","16/01/2020","135.05","31/07/2019"
"EIH Associated","420.05","02/04/2019","265.00","02/08/2019"
"EIH Ltd.","214.80","14/03/2019","135.50","26/12/2019"
"Eimco Elecon Ind","449.20","07/06/2019","256.20","26/08/2019"
"EL Forge Ltd","10.40","07/10/2014","2.75","25/03/2014"
"E-Land Apparel","22.40","08/01/2018","4.70","11/10/2018"
"Elder Pharma","118.90","28/09/2015","20.35","27/06/2016"
"Elecon Engg.","70.00","08/03/2019","24.55","02/08/2019"
"Electrosteel Cas","22.95","12/03/2019","10.30","27/11/2019"
"Electrosteel Steels","46.45","04/12/2018","1.05","28/05/2018"
"Electrotherm (In","380.10","29/05/2019","110.00","12/12/2019"
"Elgi Equipments","308.00","01/10/2019","221.60","26/08/2019"
"Elgi Rubber Co.","28.90","28/05/2019","14.60","23/12/2019"
"Elite Conductors","50.00","07/09/2015","50.00","07/09/2015"
"Elnet Technologi","80.00","15/09/2014","28.60","07/10/2013"
"Emami Ltd.","422.50","31/01/2019","245.90","24/06/2019"
"Emami Paper Mill","172.95","30/05/2019","61.35","23/07/2019"
"Emami Realty","136.25","11/03/2019","37.30","15/10/2019"
"Embassy Office Parks","462.00","26/11/2019","308.00","01/04/2019"
"Emco Ltd.","4.80","04/02/2019","0.60","18/10/2019"
"Emkay Global Financi","112.40","14/03/2019","49.30","26/08/2019"
"Emkay Taps & Cutting","190.00","30/01/2019","92.00","04/12/2019"
"Emmbi Industries","174.70","02/07/2019","95.20","20/12/2019"
"Empee Distilleries L","8.85","14/03/2019","3.00","15/10/2019"
"Empee Sugars","9.05","12/06/2014","3.60","03/11/2014"
"Endurance Technologi","1,384.95","27/02/2019","742.15","08/08/2019"
"Energy Developme","10.45","01/02/2019","4.35","23/08/2019"
"Engineers India","128.70","27/05/2019","90.70","31/01/2020"
"Entegra Ltd.","4.20","12/01/2016","2.30","09/06/2016"
"Entertainment Networ","580.00","01/02/2019","219.15","15/11/2019"
"Eon Electric","46.90","08/03/2019","11.70","03/09/2019"
"Equitas Holdings Ltd","143.65","14/06/2019","82.50","14/11/2019"
"Era Infra Engineerin","4.60","06/10/2015","1.40","04/07/2016"
"Eris Lifesciences","681.50","04/02/2019","358.10","11/09/2019"
"Eros International M","89.90","12/03/2019","9.10","13/08/2019"
"Esab India","1,549.80","29/01/2020","815.00","18/02/2019"
"Escorts Ltd.","835.50","30/01/2020","423.55","23/08/2019"
"Ess Dee Aluminium Lt","17.70","21/01/2019","1.95","20/01/2020"
"Essar Oil Ltd.","263.35","08/02/2016","98.10","05/06/2015"
"Essar Ports","150.00","23/03/2015","78.65","26/08/2015"
"Essar Shipping","16.25","22/04/2019","6.05","23/08/2019"
"Essel Propack Ltd.","197.00","24/01/2020","78.75","22/08/2019"
"Ester India","43.90","22/01/2020","22.50","05/08/2019"
"Euro Ceramics Ltd.","1.90","17/05/2019","0.30","25/10/2019"
"Euro India Fresh","131.00","20/08/2019","81.00","30/09/2019"
"Euro Multivision Ltd","0.90","04/04/2019","0.30","07/11/2019"
"Eurotex Inds.","20.00","01/02/2019","9.65","21/08/2019"
"Eveready Industr","220.00","12/02/2019","34.30","17/10/2019"
"Everest Industries L","494.50","06/03/2019","238.00","16/12/2019"
"Everest Kanto Cylind","33.00","16/01/2020","17.60","03/09/2019"
"Everonn Education","36.30","28/12/2015","9.70","01/11/2016"
"Excel Crop Care Ltd.","4,539.90","28/08/2018","2,490.00","20/08/2019"
"Excel Industries","1,270.00","12/03/2019","733.60","23/08/2019"
"Excel Realty N Infra","2.35","01/02/2019","0.80","03/10/2019"
"Exide Inds.","234.55","20/03/2019","166.00","20/09/2019"
"Expleo Solutions","529.75","25/03/2019","230.00","26/08/2019"
"FACT","54.90","27/01/2020","29.70","20/02/2019"
"Fairchem Speciality","582.00","28/05/2019","335.95","31/01/2019"
"Farmax India","0.10","07/08/2017","0.05","03/07/2017"
"FCS Software Sol.Ltd","0.55","29/07/2019","0.15","27/02/2019"
"FDC Ltd.","241.35","24/01/2020","148.30","21/02/2019"
"Fedders Electric","57.25","18/06/2018","4.60","17/06/2019"
"Federal Bank","110.40","03/07/2019","78.20","22/02/2019"
"Federal-Mogul Goetze","666.45","17/12/2019","461.60","22/02/2019"
"Felix Industries","25.30","07/05/2019","14.00","26/12/2019"
"FIEM Industries","560.00","12/03/2019","314.00","19/09/2019"
"Filatex India","58.20","03/04/2019","31.95","07/10/2019"
"Fine Organic Indus","2,479.00","29/01/2020","1,044.90","31/01/2019"
"Fineotex Chemical Lt","46.70","13/03/2019","22.10","22/08/2019"
"Finolex Cables","507.85","20/03/2019","345.55","06/12/2019"
"Finolex Industri","626.90","22/10/2019","437.00","20/02/2019"
"First Leasing","13.45","09/12/2013","11.35","09/12/2013"
"First Winner Industr","3.75","02/08/2017","1.40","24/05/2018"
"Firstsource Solution","57.85","28/05/2019","36.50","12/12/2019"
"Five Core Electronic","151.00","03/08/2018","31.70","16/05/2019"
"Flexituff Ventures","54.90","18/04/2019","3.05","20/11/2019"
"Focus Lighting","59.27","11/03/2019","29.45","16/12/2019"
"Force Motors","1,504.00","21/01/2020","960.35","16/12/2019"
"Fortis Healthcare","161.00","15/11/2019","111.30","05/08/2019"
"Foseco India Lim","1,630.00","29/01/2020","1,139.40","23/08/2019"
"Fourth Dimension Sol","40.75","31/01/2019","6.00","23/01/2020"
"Future Consumer","51.75","12/03/2019","21.55","25/10/2019"
"Future Enterprises","43.00","20/03/2019","18.40","01/10/2019"
"Future Lifestyle","504.35","01/04/2019","382.10","13/11/2019"
"Future Market Net","60.45","11/03/2019","20.10","05/08/2019"
"Future Retail L","489.45","28/06/2019","323.20","24/01/2020"
"Future Supply Chain","710.80","23/05/2019","436.75","30/01/2020"
"G M Breweries Ltd.","682.10","02/04/2019","335.00","23/08/2019"
"Gabriel India","158.80","13/02/2019","85.05","30/07/2019"
"GAIL (India) Ltd.","183.25","19/03/2019","110.45","10/12/2019"
"Galaxy Surfacta.","1,648.45","08/11/2019","871.80","14/02/2019"
"Gallantt Ispat Ltd.","44.00","23/05/2019","16.05","29/08/2019"
"Gallantt Metal","54.90","12/03/2019","24.00","22/08/2019"
"Gammon India","9.45","15/09/2017","1.65","10/09/2018"
"Gammon Infrastructur","0.75","31/01/2019","0.20","04/10/2019"
"Gandhi Special","416.90","31/05/2019","264.05","07/01/2020"
"Ganesh Housing","72.60","15/04/2019","28.00","05/08/2019"
"Ganesha Ecosphere","379.75","01/04/2019","231.15","05/08/2019"
"Ganga Forging","26.00","28/12/2018","16.80","11/10/2019"
"Ganges Securities","51.95","27/06/2019","31.15","13/12/2019"
"Gangotri Textile","1.75","06/02/2019","0.25","28/08/2019"
"Garden Reach Ship","249.00","04/11/2019","80.10","06/02/2019"
"Garden Silk Mill","23.95","07/03/2019","8.20","23/08/2019"
"Garware Tech. Fibres","1,603.95","27/01/2020","963.60","19/02/2019"
"Gateway Distriparks","154.35","28/05/2019","81.00","15/11/2019"
"Gati Ltd.","94.45","22/03/2019","35.15","23/08/2019"
"Gayatri Highways","1.00","07/03/2019","0.20","26/09/2019"
"Gayatri Projects","188.50","03/06/2019","54.20","31/01/2020"
"GB Global","20.50","13/08/2019","2.25","13/02/2019"
"GE Power India","938.00","20/05/2019","669.60","14/11/2019"
"GE T&D India","320.00","27/02/2019","137.60","05/08/2019"
"GeeCee Ventures","134.80","11/03/2019","73.20","23/08/2019"
"Geekay Wires","38.60","28/01/2020","31.00","11/07/2019"
"GEI Industrial Syste","8.00","26/05/2016","2.85","04/10/2016"
"Gemini Communica","1.10","13/04/2018","0.15","21/12/2018"
"General Ins. Corp.","334.05","31/10/2019","156.00","23/08/2019"
"Genesys Int.Corp.","139.90","31/01/2019","49.15","12/12/2019"
"Genus Paper & Boards","9.45","13/03/2019","3.90","22/07/2019"
"Genus Power Infrastr","34.80","07/03/2019","16.30","22/07/2019"
"Geojit Financial","45.25","15/03/2019","22.25","14/08/2019"
"Geometric Ltd.","269.00","06/03/2017","171.50","11/03/2016"
"GFL L","146.25","30/01/2020","39.95","28/08/2019"
"GHCL","277.45","28/05/2019","178.10","24/12/2019"
"GI Engineering Solut","4.00","13/02/2019","2.30","10/01/2020"
"GIC Housing Fi","283.65","05/07/2019","131.15","03/10/2019"
"Gillanders Arbut","58.05","07/02/2019","25.40","24/10/2019"
"Gillette India Ltd.","8,140.00","31/10/2019","6,169.00","25/02/2019"
"Ginni Filaments","15.90","31/01/2019","6.20","16/10/2019"
"GIR Natureview","215.00","25/10/2018","119.95","12/03/2019"
"Giriraj Civil Devolp","42.80","28/01/2019","20.95","23/09/2019"
"Gitanjali Gems","7.90","02/04/2018","0.95","25/03/2019"
"GKB Ophthalmic","91.50","28/01/2015","25.50","04/06/2014"
"GKW L","1,005.00","01/02/2019","545.50","01/07/2019"
"GlaxoSmithKline Phar","1,748.00","29/01/2020","1,130.00","12/07/2019"
"GlaxoSmithKlineConsu","9,351.00","07/11/2019","6,856.05","25/03/2019"
"Glenmark Pharma","666.80","29/03/2019","267.25","14/11/2019"
"Global Education","149.00","24/01/2019","68.05","13/11/2019"
"Global Offshore Ser","13.90","27/02/2019","4.70","30/01/2020"
"Global Vectra Helico","126.90","18/04/2019","41.00","05/08/2019"
"Globe Intl. Carriers","28.00","11/12/2018","14.90","04/12/2019"
"Globe Textiles (Ind","44.80","07/02/2019","18.00","24/09/2019"
"Globus Spirits Ltd.","160.90","13/11/2019","92.15","23/08/2019"
"Glodyne Technoserve","4.40","10/11/2014","0.65","07/09/2015"
"GMM Pfaudler Ltd","2,635.00","27/01/2020","1,020.00","18/02/2019"
"GMR Infrastructure L","25.00","16/01/2020","12.95","05/02/2019"
"GNA Axles","347.40","18/03/2019","210.30","06/08/2019"
"Goa Carbons","508.00","16/04/2019","194.90","04/12/2019"
"GOCL Corporation","349.00","06/09/2019","219.40","23/07/2019"
"Godawari Power & Isp","293.00","07/03/2019","120.00","26/08/2019"
"Godfrey Phillips Ind","1,481.75","21/01/2020","673.30","05/08/2019"
"Godha Cabcon & Insul","30.00","01/02/2019","10.95","26/11/2019"
"Godrej Agrovet L","598.00","28/01/2020","422.50","05/08/2019"
"Godrej Consumer Prod","772.00","16/01/2020","575.00","04/09/2019"
"Godrej Industries Lt","553.70","27/03/2019","376.00","10/10/2019"
"Godrej Properties Lt","1,119.60","01/07/2019","684.00","15/03/2019"
"Goenka Diamond & Jew","0.55","16/04/2019","0.20","19/07/2019"
"Gokaldas Exports","119.05","29/05/2019","65.00","31/01/2020"
"Gokul Agro Resources","18.90","05/02/2019","8.55","20/05/2019"
"Gokul Refoils & Solv","18.70","05/02/2019","7.20","12/04/2019"
"GOL Offshore Ltd.","44.60","18/07/2016","10.05","18/07/2017"
"Golden Tobacco Ltd.","48.30","02/04/2019","21.30","02/08/2019"
"Goldiam Internat","164.00","03/01/2020","70.10","26/03/2019"
"Goldstar Power","29.80","08/02/2019","22.70","31/01/2020"
"Goldstone Tech","15.50","08/08/2019","7.85","04/12/2019"
"Goodluck India","77.50","28/05/2019","39.20","13/12/2019"
"GP Petroleums","76.95","22/04/2019","31.80","04/09/2019"
"GPT Infraprojects","64.90","15/04/2019","32.55","26/08/2019"
"Grand Foundry","7.60","23/10/2019","1.25","23/07/2019"
"Granules India L","161.10","23/01/2020","84.00","26/07/2019"
"Graphite India Ltd.","622.10","01/02/2019","255.10","09/10/2019"
"Grasim Inds.","959.80","27/05/2019","633.60","07/10/2019"
"Gravita India Ltd.","96.15","22/04/2019","33.90","31/07/2019"
"Great Eastern","369.40","17/01/2020","211.65","06/08/2019"
"Greaves Cotton","156.85","04/06/2019","112.35","23/08/2019"
"Greenearth Resource","0.50","16/01/2018","0.10","09/04/2018"
"Greenlam Industries","1,049.00","11/11/2019","652.20","21/02/2019"
"Greenpanel Industrie","61.00","23/01/2020","28.35","06/11/2019"
"Greenply Industr","194.90","27/09/2019","111.90","05/08/2019"
"Gretex Industries","16.50","13/11/2018","5.20","25/07/2019"
"Grindwell Norton","680.00","20/01/2020","500.50","08/02/2019"
"GRP L","1,190.00","05/03/2019","728.00","10/12/2019"
"GRUH Finance Li","335.40","21/12/2018","204.60","31/01/2019"
"GSFC","110.65","31/05/2019","66.00","11/12/2019"
"GSL (India)","1,288.98","09/12/2014","1,288.37","24/12/2014"
"GSL Nova Petrochemic","1.80","15/07/2014","0.70","05/06/2014"
"GSS Infotech","144.80","03/06/2019","20.60","17/10/2019"
"GTL Infrastructure","1.30","08/04/2019","0.35","25/10/2019"
"GTL Ltd.","6.15","12/03/2019","1.30","31/10/2019"
"GTN Industries","11.95","08/04/2019","5.10","14/11/2019"
"GTN Textiles","12.75","22/04/2019","5.30","17/12/2019"
"GTPL Hathway","95.80","18/07/2019","53.05","10/07/2019"
"Gufic BioSciences Lt","93.95","16/04/2019","51.05","08/08/2019"
"Guj. Alkalie & C","595.00","27/05/2019","370.00","23/08/2019"
"Guj. Amb.Exports","247.00","06/02/2019","113.50","06/08/2019"
"Guj. Gas Co. Ltd","874.80","12/05/2015","370.15","02/06/2014"
"Guj. Industries","86.90","27/01/2020","64.20","27/11/2019"
"Guj. Leasing Fin","1.65","25/03/2019","0.50","03/01/2020"
"Guj. Mineral Dev","94.50","12/03/2019","54.50","11/12/2019"
"Guj. NRE Coke","3.10","09/02/2017","0.90","09/02/2018"
"Guj. Raffia Indu","18.20","23/04/2019","6.60","26/12/2019"
"Guj. Sidhee Ceme","25.50","08/01/2020","15.20","31/07/2019"
"Guj. State Finan","1.75","08/12/2015","1.75","08/12/2015"
"Gujarat Apollo Indus","170.95","13/02/2019","105.55","23/07/2019"
"Gujarat Fluorochem","750.00","16/10/2019","401.15","02/12/2019"
"Gujarat Gas","307.95","28/01/2020","115.00","18/02/2019"
"Gujarat Narmada Vall","339.70","01/02/2019","155.00","02/01/2020"
"Gujarat Pipavav Port","103.95","27/03/2019","75.00","07/08/2019"
"GujaratStatePetronet","263.80","29/01/2020","148.65","21/02/2019"
"Gulf Oil Lubricants","917.90","15/04/2019","675.00","29/07/2019"
"Gulshan Polyols Ltd.","63.65","31/01/2019","32.65","06/08/2019"
"GVK Power & Infrastr","8.60","25/02/2019","2.65","16/10/2019"
"Gyscoal Alloys Ltd.","6.20","25/02/2019","1.65","25/10/2019"
"Hanung Toys & Textil","5.60","11/01/2018","0.80","05/10/2018"
"Harita Seating Syst.","533.85","31/01/2020","345.00","30/07/2019"
"Harrisons Malaya","88.30","31/01/2019","44.15","23/08/2019"
"Hathway Cable & Data","38.45","22/08/2019","17.55","06/08/2019"
"Hatsun Agro Prod","785.00","10/04/2019","548.00","13/12/2019"
"Havells India","806.85","28/06/2019","588.30","22/01/2020"
"HB Stockholding","9.70","11/04/2019","6.00","21/02/2019"
"HBL Power Systems Lt","29.25","28/05/2019","12.60","23/08/2019"
