"Company Name","52 Week High (₹)","High Date","52 Week Low (₹)","Low Date"
"AML Steel","9.95","18/06/2014","3.60","10/09/2014"
"Amrutanjan Health Ca","544.00","20/01/2020","274.35","14/05/2019"
"Amtek Auto Ltd.","24.35","10/04/2018","2.60","25/02/2019"
"Anant Raj Ltd.","40.75","15/01/2020","23.10","23/08/2019"
"Andhra Bank","33.65","01/04/2019","15.00","17/10/2019"
"Andhra Cement","6.60","07/03/2019","1.75","16/08/2019"
"Andhra Paper","504.70","06/03/2019","272.00","16/12/2019"
"ANG Industries","4.15","26/06/2018","0.75","04/06/2019"
"ANI Integrated Serv","77.00","21/02/2019","21.00","20/11/2019"
"Anik Industries","18.45","31/01/2019","5.15","18/10/2019"
"Anjani Portland","192.70","28/05/2019","96.00","18/02/2019"
"Ankit Metal & Power","1.15","02/12/2019","0.35","21/06/2019"
"Ansal Housing L","16.85","25/02/2019","3.50","01/08/2019"
"Ansal Properties & I","13.90","01/02/2019","3.65","08/08/2019"
"Antarctica Ltd.","1.25","14/06/2019","0.40","28/02/2019"
"Apar Industries","702.30","18/04/2019","385.00","08/01/2020"
"Apcotex Industries L","234.60","04/07/2019","145.05","16/12/2019"
"Apex Frozen Foods","444.85","16/01/2020","190.00","23/08/2019"
"APL Apollo Tubes","2,219.00","27/01/2020","1,003.30","15/02/2019"
"Aplab","50.00","07/07/2014","21.95","12/02/2014"
"Apollo Hospitals","1,713.00","27/01/2020","1,083.10","18/02/2019"
"Apollo Micro Systems","151.85","06/05/2019","65.00","17/10/2019"
"Apollo Pipes","442.00","28/01/2020","325.10","11/12/2019"
"Apollo Sindoori Hote","1,050.00","30/05/2019","622.00","05/12/2019"
"Apollo Tyres","235.00","13/03/2019","144.05","02/08/2019"
"Aptech Ltd.","193.45","05/11/2019","111.60","23/07/2019"
"Archidply Industries","45.90","15/03/2019","22.40","23/08/2019"
"Archies Ltd.","29.25","05/02/2019","15.50","05/08/2019"
"Arcotech Ltd.","7.50","14/03/2019","1.50","17/10/2019"
"Aries Agro Ltd.","95.80","01/02/2019","41.60","02/08/2019"
"Arihant Foundat","39.65","31/01/2019","14.15","23/08/2019"
"Arihant Superstructu","66.30","11/03/2019","21.10","12/12/2019"
"Arman Financial Serv","786.00","09/01/2020","321.55","02/05/2019"
"Aro Granite Indu","58.40","29/05/2019","29.45","05/08/2019"
"Arrow Greentech","101.00","04/02/2019","42.80","23/08/2019"
"Arrow Textiles Ltd.","20.75","13/03/2019","8.00","17/12/2019"
"Arshiya","38.30","04/04/2019","14.55","09/07/2019"
"ARSS Infrastructure","63.30","22/04/2019","18.80","10/10/2019"
